date,motif
01/01/2019,jour de l'an
22/04/2019,Lundi de Pâques
01/05/2019,Fête du Travail
08/05/2019,Victoire 1945
30/05/2019,Ascension
10/06/2019,Pentecôte
14/07/2019,Fête Nationale
15/08/2019,Assomption
01/11/2019,Toussaint
11/11/2019,Armistice 1918
25/12/2019,Noël
01/01/2020,jour de l'an
13/04/2020,Lundi de Pâques
01/05/2020,Fête du Travail
08/05/2020,Victoire 1945
21/05/2020,Ascension
01/06/2020,Pentecôte
14/07/2020,Fête Nationale
15/08/2020,Assomption
01/11/2020,Toussaint
11/11/2020,Armistice 1918
25/12/2020,Noël
01/01/2021,jour de l'an
05/04/2021,Lundi de Pâques
01/05/2021,Fête du Travail
08/05/2021,Victoire 1945
13/05/2021,Ascension
24/05/2021,Pentecôte
14/07/2021,Fête Nationale
15/08/2021,Assomption
01/11/2021,Toussaint
11/11/2021,Armistice 1918
25/12/2021,Noël
